Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,CARES,Coronavirus Relief Fund,U.S. Department of the Treasury,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic",All,470.08,2020-05-11,2021-12-31,1,1,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,U.S. Department of the Treasury
Cook County,CARES,Coronavirus Relief Fund,U.S. Department of the Treasury,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic",All,428.6,2020-05-11,2021-12-31,1,1,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,U.S. Department of the Treasury
Illinois,CARES,Coronavirus Relief Fund,U.S. Department of the Treasury,"Broad Covid-19 relief funds for state, local, and Tribal governments","This fund includes payments to State, Local, and Tribal governments navigating the impact of the Covid-19 pandemic",All,3518.95,2020-05-11,2021-12-31,1,1,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/coronavirus-relief-fund,U.S. Department of the Treasury
